Wavenumbercm-1,0.00e+00 M,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M,0.00e+00 M
2914,-0.00039973464347231,-1.9827366814937473e-05,-0.00105974285916235,-0.0018854588236373333,-0.0023481125030009667,-0.0030177754805421667,-0.0037790132835827665,-0.0043547073172056,-0.001133962045051375
2912,-0.0004290554625637767,0.000107826467964725,-0.0009568342924295,-0.0017638889703715,-0.0021913834914803,-0.002855513143029233,-0.0036208577683023665,-0.004187420118811566,-0.0010334977806605496
2910,-0.0004523083285025833,0.00015402365706797085,-0.0008993305420148499,-0.0016573449539087667,-0.002078084602603067,-0.0027347171260061667,-0.0034780295921185665,-0.004058183626066733,-0.0009164381272272752
2908,-0.00046179928390459,0.0001308715024166875,-0.00092107287712105,-0.0015992249298265333,-0.0020457926543977,-0.0027034061989717004,-0.0033901517446520996,-0.0040014175419799,-0.0008416194277281749
2906,-0.00046305270788805995,8.677114775583746e-05,-0.0009695475559019,-0.0015550094852330332,-0.0020635861266977335,-0.0027228208152732664,-0.0033568417890503664,-0.003979407198899133,-0.0008207873521403996
2904,-0.00046208771447349997,4.675271493359581e-05,-0.0009718346759385499,-0.0015058455252580335,-0.0020808657895151667,-0.0027269482096730336,-0.0033544447740226665,-0.0039435281279448,-0.0008293556996836
2902,-0.00045914831347403995,3.6972644932416416e-06,-0.000934764384477,-0.0014934972459162664,-0.0020950284880003668,-0.0027175215033956,-0.0033708545293814666,-0.0039094479262549,-0.0008520510154118501
2900,-0.00045553253353842,-4.715062341315002e-05,-0.0009301614444389499,-0.0015497346445293003,-0.002130148154940033,-0.002740304105133033,-0.0034052894306186667,-0.003923077979972866,-0.0008862379122069501
2898,-0.00045615477227584,-0.00010726260521490834,-0.0009975329033276,-0.0016402270894620666,-0.0021785210704792332,-0.0027994242510274,-0.0034569982368749335,-0.003981257993557867,-0.0009180432729765749
2896,-0.00046133166552122,-0.00019370545145165,-0.00110596425240225,-0.0017150025447719667,-0.0022070697181237,-0.002852404560130433,-0.0035242490249176336,-0.004034898004379266,-0.0009272228878961002
2894,-0.00046407375813596,-0.00030626196898042503,-0.0011999652154956499,-0.0017639559489485666,-0.0022073063023083333,-0.0028710300098075997,-0.0035928030186426,-0.004052290651121167,-0.0009092004559847752
2892,-0.00046003337348542,-0.0003877369628507,-0.001242110615041,-0.0017922645356826,-0.002196159612321367,-0.0028575959598640664,-0.0036251877110453335,-0.004038579188509966,-0.0008750070862413001
2890,-0.00045523086275118,-0.0003766608772603,-0.00122422705732855,-0.0017902380790680331,-0.0021765387133176666,-0.0028173408222963,-0.0035886498079389004,-0.004002801109840166,-0.00083338729501015
2888,-0.00045692465285575995,-0.00029019134793274997,-0.0011672006302571002,-0.0017555203580159335,-0.0021402876731920666,-0.0027548020043882335,-0.0034977109645805,-0.003943619841120834,-0.0007928695794688749
2886,-0.00046255006468308,-0.000199560471635375,-0.0011061169936866502,-0.0017044874454968668,-0.0020996161898845667,-0.0026884990285718333,-0.0034028619882828,-0.0038696296194584002,-0.0007690186937167247
2884,-0.00046571182995876,-0.00013187156432440834,-0.0010588364728537,-0.0016411773645670334,-0.0020733042267285667,-0.0026377835162762,-0.003334120838200267,-0.0038025474567988334,-0.0007638935734934998
2882,-0.0004679116241063732,-5.938242360616655e-05,-0.0010164327802528999,-0.0015574947342157335,-0.002050644183045567,-0.0026034673751502003,-0.0032864431208282662,-0.0037555125857004334,-0.0007510477090010753
